Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,1185,1185,1185,0.0,1
Resistance,1209,1216,1212,3.54,2
Resistance,1230,1230,1230,0.0,2
Resistance,1244,1251,1248,3.54,2
Resistance,1255,1255,1255,0.0,1
Resistance,1299,1306,1302,3.54,2
Resistance,1314,1321,1318,3.54,2
Support,615,641,628,13.08,8
Support,687,710,699,11.29,32
Support,722,748,735,13.14,22
Support,776,802,789,13.18,19
Support,832,873,852,20.43,15
Support,1012,1070,1041,29.45,5
Support,1093,1139,1116,22.88,12
