Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1006,3952,2479,49.1,18,2479.0,0.0329,2400.0,419.42,1
Resistance,1663,4070,2867,40.11,29,2867.0,0.1946,2400.0,141.75,2
Resistance,1576,3886,2731,38.51,20,2731.0,0.1379,2400.0,135.21,3
Resistance,1409,4651,3030,54.04,11,3030.0,0.2625,2400.0,40.37,4
Resistance,2043,5621,3832,59.63,18,3832.0,0.5967,2400.0,29.67,5
Resistance,2179,4943,3561,46.06,10,3561.0,0.4838,2400.0,20.25,6
Resistance,953,5793,3373,80.66,6,3373.0,0.4054,2400.0,14.44,7
Resistance,2332,5762,4047,57.16,10,4047.0,0.6863,2400.0,14.36,8
Resistance,2304,6174,4239,64.51,9,4239.0,0.7662,2400.0,11.59,9
Resistance,2124,6781,4453,77.61,7,4453.0,0.8554,2400.0,8.09,10
Support,1968,2742,2355,12.91,4,2355.0,0.0187,2400.0,139.13,1
Support,1766,2711,2239,15.74,7,2239.0,0.0671,2400.0,90.81,2
Support,1685,2670,2178,16.41,9,2178.0,0.0925,2400.0,87.8,3
Support,2133,2480,2307,5.77,3,2307.0,0.0387,2400.0,61.54,4
Support,1217,2642,1929,23.75,11,1929.0,0.1963,2400.0,53.33,5
Support,1667,2396,2031,12.15,7,2031.0,0.1537,2400.0,42.75,6
Support,1452,2748,2100,21.6,4,2100.0,0.125,2400.0,29.63,7
Support,1272,2302,1787,17.18,5,1787.0,0.2554,2400.0,18.84,8
Support,1740,2260,2000,8.66,3,2000.0,0.1667,2400.0,16.98,9
Support,1385,1385,1385,0.0,1,1385.0,0.4229,2400.0,2.31,10
