Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,143,627,385,8.07,10,385.0,0.0519,366.0,161.52,1
Resistance,248,579,413,5.52,11,413.0,0.1284,366.0,79.47,2
Resistance,189,694,442,8.4,8,442.0,0.2077,366.0,36.76,3
Resistance,237,701,469,7.73,10,469.0,0.2814,366.0,34.31,4
Resistance,318,676,497,5.96,10,497.0,0.3579,366.0,27.18,5
Resistance,296,749,522,7.56,8,522.0,0.4262,366.0,18.34,6
Resistance,139,1107,623,16.14,13,623.0,0.7022,366.0,18.25,7
Resistance,124,990,557,14.43,3,557.0,0.5219,366.0,5.64,8
Resistance,387,955,671,9.46,4,671.0,0.8333,366.0,4.74,9
Resistance,641,854,748,3.54,2,748.0,1.0437,366.0,1.9,10
Support,155,548,352,6.54,5,352.0,0.0383,366.0,103.62,1
Support,132,408,270,4.6,18,270.0,0.2623,366.0,66.1,2
Support,94,267,181,2.88,31,181.0,0.5055,366.0,60.14,3
Support,142,362,252,3.67,17,252.0,0.3115,366.0,52.88,4
Support,96,507,302,6.86,6,302.0,0.1749,366.0,32.46,5
Support,138,302,220,2.73,9,220.0,0.3989,366.0,22.01,6
Support,40,352,196,5.2,9,196.0,0.4645,366.0,18.97,7
Support,136,330,233,3.24,7,233.0,0.3634,366.0,18.75,8
Support,-69,358,144,7.13,5,144.0,0.6066,366.0,8.11,9
Support,62,275,168,3.54,2,168.0,0.541,366.0,3.63,10
