Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,1134,1289,1212,2.58,6
Resistance,1127,1339,1233,3.54,9
Resistance,1013,1513,1263,8.33,9
Resistance,1090,1501,1296,6.85,10
Resistance,973,1674,1323,11.69,6
Resistance,986,1738,1362,12.55,5
Resistance,1068,1752,1410,11.4,6
Resistance,1465,1465,1465,0.0,1
Resistance,1330,1677,1503,5.77,3
Resistance,1550,1550,1550,0.0,1
Support,-522,1125,301,27.45,17
Support,-229,1001,386,20.51,26
Support,-440,1375,468,30.24,21
Support,-541,1822,640,39.4,12
Support,69,1469,769,23.33,6
Support,290,1424,857,18.91,5
Support,319,1595,957,21.27,13
Support,460,1591,1025,18.85,15
Support,500,1735,1117,20.59,7
Support,753,1615,1184,14.36,22
