Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2019-12-27,331.6050109863281,319.9013061523437,,319.9013061523437,Support,319.9013061523437,1695.0,-1375.0986938476562
2020-01-09,314.0494384765625,302.3457336425781,,302.3457336425781,Support,302.3457336425781,1695.0,-1392.6542663574219
2020-01-28,306.2469787597656,294.54327392578125,,294.54327392578125,Support,294.54327392578125,1695.0,-1400.4567260742188
2020-02-03,302.3457336425781,296.493896484375,,296.493896484375,Support,296.493896484375,1695.0,-1398.506103515625
2020-03-04,206.76547241210932,193.11114501953125,,193.11114501953125,Support,193.11114501953125,1695.0,-1501.8888549804688
2020-03-10,255.53091430664065,204.8148498535156,,204.8148498535156,Support,204.8148498535156,1695.0,-1490.1851501464844
2020-04-02,188.234603881836,177.50621032714844,,177.50621032714844,Support,177.50621032714844,1695.0,-1517.4937896728516
2020-04-09,193.11114501953125,184.3333740234375,,184.3333740234375,Support,184.3333740234375,1695.0,-1510.6666259765625
2020-04-16,195.061767578125,185.3086700439453,,185.3086700439453,Support,185.3086700439453,1695.0,-1509.6913299560547
2020-04-22,191.1605224609375,180.43212890625,,180.43212890625,Support,180.43212890625,1695.0,-1514.56787109375
2020-04-24,191.1605224609375,184.3333740234375,,184.3333740234375,Support,184.3333740234375,1695.0,-1510.6666259765625
2020-04-28,193.11114501953125,184.3333740234375,193.11114501953125,184.3333740234375,Support,184.3333740234375,1695.0,-1510.6666259765625
2020-05-04,206.76547241210932,183.35806274414065,,183.35806274414065,Support,183.35806274414065,1695.0,-1511.6419372558594
2020-05-13,275.0370788574219,218.4691772460937,,218.4691772460937,Support,218.4691772460937,1695.0,-1476.5308227539062
2020-06-05,316.00006103515625,296.493896484375,,296.493896484375,Support,296.493896484375,1695.0,-1398.506103515625
2020-06-12,306.2469787597656,267.234619140625,,267.234619140625,Support,267.234619140625,1695.0,-1427.765380859375
2020-06-22,310.148193359375,292.5926513671875,,292.5926513671875,Support,292.5926513671875,1695.0,-1402.4073486328125
2020-06-29,302.3457336425781,296.493896484375,,296.493896484375,Support,296.493896484375,1695.0,-1398.506103515625
2020-07-02,302.3457336425781,296.493896484375,,296.493896484375,Support,296.493896484375,1695.0,-1398.506103515625
2020-07-14,502.2840576171875,462.29638671875,502.2840576171875,462.29638671875,Support,462.29638671875,1695.0,-1232.70361328125
2020-07-20,477.9013366699219,460.34576416015625,,460.34576416015625,Support,460.34576416015625,1695.0,-1234.6542358398438
2020-07-27,475.9507141113281,464.24700927734375,,464.24700927734375,Support,464.24700927734375,1695.0,-1230.7529907226562
2020-08-03,546.1729736328125,492.5309448242188,,492.5309448242188,Support,492.5309448242188,1695.0,-1202.4690551757812
2020-08-12,619.3211059570312,546.1729736328125,619.3211059570312,546.1729736328125,Support,546.1729736328125,1695.0,-1148.8270263671875
2020-08-31,994.8150024414062,911.9137573242188,994.8150024414062,911.9137573242188,Support,911.9137573242188,1695.0,-783.0862426757812
2020-09-04,965.5557250976562,887.531005859375,,887.531005859375,Support,887.531005859375,1695.0,-807.468994140625
2020-09-11,868.0248413085938,775.3705444335938,,775.3705444335938,Support,775.3705444335938,1695.0,-919.6294555664062
2020-09-30,741.2347412109375,707.098876953125,,707.098876953125,Support,707.098876953125,1695.0,-987.901123046875
2020-10-07,838.7655639648438,804.6297607421875,,804.6297607421875,Support,804.6297607421875,1695.0,-890.3702392578125
2020-10-16,1365.432373046875,1189.8768310546875,,1189.8768310546875,Support,1189.8768310546875,1695.0,-505.1231689453125
2020-10-26,1272.778076171875,1165.4940185546875,,1165.4940185546875,Support,1165.4940185546875,1695.0,-529.5059814453125
2020-11-04,1189.8768310546875,1121.6051025390625,,1121.6051025390625,Support,1121.6051025390625,1695.0,-573.3948974609375
