Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1712,1767,1739,27.38,22,1739.0,0.026,1695.0,611.81,1
Resistance,1801,1896,1849,47.81,13,1849.0,0.0909,1695.0,128.9,2
Resistance,2057,2200,2128,71.13,17,2128.0,0.2555,1695.0,64.04,3
Resistance,2335,2462,2398,63.48,9,2398.0,0.4147,1695.0,21.19,4
Resistance,2662,2789,2725,63.23,9,2725.0,0.6077,1695.0,14.57,5
Resistance,2875,2993,2934,59.3,6,2934.0,0.731,1695.0,8.1,6
Resistance,3670,3918,3794,124.14,2,3794.0,1.2383,1695.0,1.6,7
Resistance,3238,3238,3238,0.0,1,3238.0,0.9103,1695.0,1.09,8
Support,1596,1672,1634,37.63,31,1634.0,0.036,1695.0,674.09,1
Support,1438,1512,1475,37.15,28,1475.0,0.1298,1695.0,200.3,2
Support,1279,1345,1312,33.01,19,1312.0,0.226,1695.0,80.52,3
Support,1127,1211,1169,41.78,9,1169.0,0.3103,1695.0,28.1,4
Support,177,202,190,12.68,10,190.0,0.8879,1695.0,11.14,5
Support,282,309,296,13.48,9,296.0,0.8254,1695.0,10.77,6
Support,734,901,817,83.59,5,817.0,0.518,1695.0,9.47,7
Support,449,522,485,36.58,5,485.0,0.7139,1695.0,6.91,8
