Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,-22,2792,1385,46.9,9,1385.0,0.0613,1305.0,126.22,1
Resistance,675,2685,1680,33.5,37,1680.0,0.2874,1305.0,124.43,2
Resistance,232,2812,1522,42.99,20,1522.0,0.1663,1305.0,113.45,3
Resistance,499,3105,1802,43.43,21,1802.0,0.3808,1305.0,53.73,4
Resistance,1123,3308,2215,36.43,13,2215.0,0.6973,1305.0,18.38,5
Resistance,243,3867,2055,60.42,8,2055.0,0.5747,1305.0,13.68,6
Resistance,1098,3672,2385,42.9,6,2385.0,0.8276,1305.0,7.16,7
Resistance,460,5273,2867,80.21,3,2867.0,1.1969,1305.0,2.49,8
Resistance,-246,5481,2618,95.46,2,2618.0,1.0061,1305.0,1.97,9
Support,196,2310,1253,35.24,11,1253.0,0.0398,1305.0,220.68,1
Support,675,1326,1000,10.85,13,1000.0,0.2337,1305.0,53.34,2
Support,523,1394,958,14.53,12,958.0,0.2659,1305.0,43.49,3
Support,-252,746,247,16.63,29,247.0,0.8107,1305.0,35.33,4
Support,326,1884,1105,25.98,3,1105.0,0.1533,1305.0,18.38,5
Support,26,591,308,9.42,12,308.0,0.764,1305.0,15.5,6
Support,379,772,576,6.54,5,576.0,0.5586,1305.0,8.79,7
Support,179,678,429,8.32,5,429.0,0.6713,1305.0,7.34,8
Support,514,1038,776,8.72,3,776.0,0.4054,1305.0,7.22,9
