Tanggal,Open,High,Low,Close,Volume
2019-12-26,4300.0,4300.0,4200.0,4240.0,2708700
2019-12-27,4280.0,4280.0,4200.0,4210.0,1274500
2019-12-30,4240.0,4390.0,4210.0,4250.0,2918400
2020-01-02,4250.0,4250.0,4100.0,4160.0,2564000
2020-01-03,4200.0,4200.0,4100.0,4100.0,2720500
2020-01-06,4060.0,4070.0,3920.0,3990.0,5775600
2020-01-07,4000.0,4200.0,4000.0,4190.0,4454500
2020-01-08,4190.0,4200.0,4130.0,4170.0,2762600
2020-01-09,4200.0,4270.0,4190.0,4250.0,2565800
2020-01-10,4280.0,4350.0,4270.0,4340.0,2231500
2020-01-13,4340.0,4370.0,4280.0,4320.0,2017100
2020-01-14,4370.0,4400.0,4350.0,4350.0,6063700
2020-01-15,4380.0,4400.0,4330.0,4400.0,1000200
2020-01-16,4400.0,4440.0,4360.0,4380.0,1587800
2020-01-17,4380.0,4410.0,4360.0,4390.0,2137200
2020-01-20,4400.0,4460.0,4330.0,4450.0,2086500
2020-01-21,4450.0,4550.0,4430.0,4500.0,2963000
2020-01-22,4500.0,5000.0,4500.0,4650.0,6472000
2020-01-23,4730.0,4980.0,4680.0,4700.0,5911800
2020-01-24,4770.0,4960.0,4700.0,4890.0,2691600
2020-01-27,4890.0,5125.0,4880.0,5050.0,2949300
2020-01-28,5050.0,5050.0,4750.0,4780.0,6592900
2020-01-29,4780.0,4840.0,4400.0,4570.0,11161300
2020-01-30,4580.0,4730.0,4490.0,4520.0,7019600
2020-01-31,4540.0,4640.0,4410.0,4410.0,5459300
2020-02-03,4310.0,4730.0,4200.0,4710.0,6897600
2020-02-04,4730.0,4840.0,4650.0,4680.0,5618200
2020-02-05,4720.0,4850.0,4700.0,4810.0,5326400
2020-02-06,4850.0,4900.0,4650.0,4680.0,4101700
2020-02-07,4680.0,4720.0,4590.0,4630.0,2391000
2020-02-10,4630.0,4630.0,4500.0,4510.0,3767300
2020-02-11,4540.0,4850.0,4540.0,4850.0,6411000
2020-02-12,4850.0,4860.0,4650.0,4660.0,7062400
2020-02-13,4730.0,4800.0,4370.0,4450.0,11364700
2020-02-14,4450.0,4460.0,4330.0,4390.0,6868100
2020-02-17,4400.0,4460.0,4340.0,4360.0,6451900
2020-02-18,4370.0,4450.0,4360.0,4370.0,3605000
2020-02-19,4370.0,4410.0,4250.0,4300.0,4639000
2020-02-20,4320.0,4370.0,4320.0,4350.0,3931600
2020-02-21,4360.0,4370.0,4290.0,4330.0,3883200
2020-02-24,4340.0,4350.0,4210.0,4250.0,6741900
2020-02-25,4250.0,4290.0,4110.0,4150.0,5438300
2020-02-26,4150.0,4240.0,4140.0,4200.0,6763700
2020-02-27,4220.0,4240.0,4010.0,4040.0,9309400
2020-02-28,3990.0,3990.0,3700.0,3760.0,11319300
2020-03-02,3760.0,3820.0,3560.0,3620.0,9654800
2020-03-03,3690.0,4100.0,3690.0,3830.0,10306700
2020-03-04,3830.0,4000.0,3830.0,3960.0,6734400
2020-03-05,4070.0,4190.0,4040.0,4060.0,16232500
2020-03-06,4070.0,4140.0,4000.0,4090.0,13924100
2020-03-09,4050.0,4050.0,3710.0,3780.0,7471200
2020-03-10,3780.0,3900.0,3780.0,3860.0,7413100
2020-03-11,3890.0,3920.0,3600.0,3700.0,6061500
2020-03-12,3700.0,3700.0,3450.0,3480.0,12496500
2020-03-13,3440.0,3590.0,3240.0,3400.0,7469800
2020-03-16,3400.0,3440.0,3170.0,3170.0,6053100
2020-03-17,3100.0,3170.0,2950.0,2950.0,3688800
2020-03-18,2950.0,2990.0,2750.0,2750.0,5065100
2020-03-19,2700.0,2700.0,2560.0,2560.0,281600
2020-03-20,2520.0,2560.0,2390.0,2430.0,15056500
2020-03-23,2400.0,2410.0,2260.0,2260.0,644200
2020-03-24,2260.0,2260.0,2110.0,2110.0,1683000
2020-03-26,2100.0,2410.0,1965.0,2270.0,41144900
2020-03-27,2320.0,2660.0,2320.0,2450.0,38483300
2020-03-30,2440.0,2480.0,2280.0,2280.0,17163200
2020-03-31,2280.0,2350.0,2130.0,2130.0,29735900
2020-04-01,2130.0,2220.0,1985.0,1985.0,20658100
2020-04-02,1980.0,1980.0,1850.0,1920.0,34093500
2020-04-03,1920.0,1980.0,1790.0,1805.0,24533500
2020-04-06,1805.0,2240.0,1800.0,2230.0,56956400
2020-04-07,2270.0,2780.0,2270.0,2780.0,82305500
2020-04-08,2880.0,2970.0,2600.0,2660.0,56848100
2020-04-09,2720.0,2950.0,2640.0,2940.0,48356900
2020-04-13,2940.0,2940.0,2740.0,2740.0,60607900
2020-04-14,2700.0,2700.0,2550.0,2550.0,26842900
2020-04-15,2580.0,2620.0,2380.0,2380.0,27327800
2020-04-16,2330.0,2340.0,2220.0,2220.0,11638000
2020-04-17,2220.0,2380.0,2070.0,2310.0,162220000
2020-04-20,2310.0,2390.0,2160.0,2200.0,52672200
2020-04-21,2150.0,2180.0,2050.0,2050.0,33292900
2020-04-22,2020.0,2190.0,1950.0,2160.0,74756700
2020-04-23,2200.0,2320.0,2160.0,2240.0,63315900
2020-04-24,2230.0,2230.0,2090.0,2090.0,32379600
2020-04-27,2100.0,2110.0,1955.0,1995.0,38256000
2020-04-28,1995.0,2020.0,1875.0,1900.0,52772100
2020-04-29,1930.0,1975.0,1900.0,1910.0,57027900
2020-04-30,1935.0,2300.0,1930.0,2190.0,113835300
2020-05-04,2150.0,2370.0,2050.0,2360.0,121814400
2020-05-05,2360.0,2520.0,2310.0,2460.0,67952300
2020-05-06,2460.0,2500.0,2290.0,2290.0,28828100
2020-05-08,2310.0,2360.0,2170.0,2320.0,31311700
2020-05-11,2350.0,2450.0,2340.0,2370.0,27668600
2020-05-12,2370.0,2390.0,2220.0,2250.0,17682000
2020-05-13,2250.0,2340.0,2170.0,2200.0,20414600
2020-05-14,2180.0,2280.0,2070.0,2080.0,23449600
2020-05-15,2130.0,2170.0,2020.0,2080.0,19931200
2020-05-18,2100.0,2230.0,2060.0,2230.0,23106900
2020-05-19,2300.0,2430.0,2280.0,2410.0,50168300
2020-05-20,2410.0,2420.0,2280.0,2330.0,25005700
2020-05-26,2360.0,2380.0,2300.0,2360.0,13710000
2020-05-27,2390.0,2520.0,2350.0,2520.0,65336100
2020-05-28,2500.0,2740.0,2500.0,2700.0,37973800
2020-05-29,2700.0,2880.0,2620.0,2880.0,33725300
2020-06-02,2880.0,3240.0,2870.0,3050.0,53013800
2020-06-03,3120.0,3180.0,2980.0,3100.0,32431100
2020-06-04,3150.0,3180.0,3100.0,3150.0,15753100
2020-06-05,3140.0,3200.0,3020.0,3170.0,14190600
2020-06-08,3240.0,3400.0,3200.0,3380.0,14369400
2020-06-09,3380.0,3480.0,3160.0,3180.0,11790500
2020-06-10,3170.0,3330.0,2960.0,3000.0,18727700
2020-06-11,2950.0,3140.0,2870.0,3130.0,11675900
2020-06-12,3060.0,3270.0,2970.0,3190.0,18066800
2020-06-15,3160.0,3270.0,3050.0,3080.0,11853100
2020-06-16,3130.0,3230.0,3130.0,3160.0,14562500
2020-06-17,3180.0,3330.0,3150.0,3260.0,30533300
2020-06-18,3260.0,3280.0,3170.0,3250.0,16054200
2020-06-19,3240.0,3330.0,3230.0,3270.0,11605400
2020-06-22,3270.0,3300.0,3200.0,3240.0,6386000
2020-06-23,3220.0,3250.0,3100.0,3160.0,10311800
2020-06-24,3160.0,3250.0,3160.0,3220.0,8689100
2020-06-25,3160.0,3200.0,3100.0,3100.0,12159500
2020-06-26,3110.0,3180.0,3060.0,3060.0,10742900
2020-06-29,3040.0,3160.0,3010.0,3160.0,8512300
2020-06-30,3190.0,3230.0,3180.0,3180.0,6667700
2020-07-01,3200.0,3210.0,3110.0,3130.0,6295100
2020-07-02,3130.0,3180.0,3100.0,3140.0,10462800
2020-07-03,3150.0,3180.0,3110.0,3140.0,6558300
2020-07-06,3150.0,3220.0,3140.0,3140.0,6922700
2020-07-07,3160.0,3170.0,3080.0,3090.0,6458000
2020-07-08,3090.0,3300.0,3090.0,3220.0,18230300
2020-07-09,3250.0,3280.0,3210.0,3220.0,7246600
2020-07-10,3210.0,3220.0,3160.0,3200.0,6628200
2020-07-13,3200.0,3240.0,3200.0,3210.0,5411800
2020-07-14,3230.0,3260.0,3200.0,3210.0,11408400
2020-07-15,3230.0,3330.0,3210.0,3220.0,20185100
2020-07-16,3260.0,3260.0,3190.0,3190.0,6901600
2020-07-17,3200.0,3210.0,3140.0,3190.0,6116800
2020-07-20,3190.0,3200.0,3150.0,3160.0,4500400
2020-07-21,3160.0,3200.0,3160.0,3200.0,5984400
2020-07-22,3200.0,3300.0,3160.0,3210.0,27460800
2020-07-23,3250.0,3270.0,3200.0,3250.0,14830600
2020-07-24,3250.0,3250.0,3160.0,3190.0,6080500
2020-07-27,3210.0,3250.0,3150.0,3180.0,3212200
2020-07-28,3190.0,3240.0,3190.0,3240.0,5784200
2020-07-29,3240.0,3530.0,3200.0,3430.0,52035200
2020-07-30,3430.0,3490.0,3380.0,3450.0,25228900
2020-08-03,3450.0,3500.0,3210.0,3410.0,20860700
2020-08-04,3410.0,3650.0,3310.0,3630.0,20842000
2020-08-05,3650.0,3660.0,3510.0,3580.0,15364200
2020-08-06,3600.0,3610.0,3570.0,3600.0,5889900
2020-08-07,3600.0,3630.0,3570.0,3620.0,7794000
2020-08-10,3640.0,3890.0,3620.0,3870.0,23811500
2020-08-11,3860.0,3950.0,3810.0,3860.0,8955300
2020-08-12,3870.0,4050.0,3870.0,4020.0,9620200
2020-08-13,4020.0,4140.0,3980.0,4010.0,7011300
2020-08-14,4010.0,4030.0,3800.0,3870.0,7528900
2020-08-18,3870.0,3910.0,3830.0,3850.0,5449400
2020-08-19,3850.0,3970.0,3850.0,3870.0,7557200
2020-08-24,3870.0,3910.0,3760.0,3770.0,11714200
2020-08-25,3780.0,3810.0,3700.0,3740.0,10140200
2020-08-26,3750.0,3930.0,3740.0,3890.0,21729900
