Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,657,4713,2685,67.61,8,2685.0,0.0367,2590.0,171.38,1
Resistance,1177,4697,2937,58.68,20,2937.0,0.134,2590.0,138.91,2
Resistance,1132,5209,3171,67.94,19,3171.0,0.2243,2590.0,81.08,3
Resistance,1600,5200,3400,60.0,6,3400.0,0.3127,2590.0,18.59,4
Resistance,2332,5592,3962,54.32,10,3962.0,0.5297,2590.0,18.53,5
Resistance,1549,5931,3740,73.03,7,3740.0,0.444,2590.0,15.42,6
Resistance,2296,6028,4162,62.21,5,4162.0,0.6069,2590.0,8.1,7
Support,-146,4976,2415,85.37,14,2415.0,0.0676,2590.0,180.49,1
Support,-94,4352,2129,74.1,13,2129.0,0.178,2590.0,69.15,2
Support,-134,2416,1141,42.49,39,1141.0,0.5595,2590.0,68.49,3
Support,-766,3398,1316,69.41,30,1316.0,0.4919,2590.0,59.77,4
Support,-1825,5206,1690,117.18,13,1690.0,0.3475,2590.0,36.36,5
Support,-926,2830,952,62.6,13,952.0,0.6324,2590.0,20.24,6
Support,-2808,4193,692,116.67,2,692.0,0.7328,2590.0,2.69,7
