Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,437,1022,729,9.76,7,729.0,0.0268,710.0,190.42,1
Resistance,305,1228,767,15.38,6,767.0,0.0803,710.0,66.46,2
Resistance,76,1634,855,25.98,3,855.0,0.2042,710.0,14.0,3
Resistance,532,1562,1047,17.18,5,1047.0,0.4746,710.0,10.32,4
Resistance,700,1300,1000,10.0,3,1000.0,0.4085,710.0,7.17,5
Resistance,940,940,940,0.0,1,940.0,0.3239,710.0,2.99,6
Resistance,1200,1200,1200,0.0,1,1200.0,0.6901,710.0,1.43,7
Support,-210,1520,655,28.84,16,655.0,0.0775,710.0,182.93,1
Support,-5,693,344,11.63,31,344.0,0.5155,710.0,58.99,2
Support,104,650,377,9.09,27,377.0,0.469,710.0,56.37,3
Support,-140,1120,490,21.01,16,490.0,0.3099,710.0,50.02,4
Support,-12,889,439,15.02,19,439.0,0.3817,710.0,48.51,5
Support,-116,700,292,13.6,18,292.0,0.5887,710.0,30.06,6
Support,-327,775,224,18.37,6,224.0,0.6845,710.0,8.64,7
