Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference,Cluster
2020-01-02,28.918914794921875,22.88547134399414,28.918914794921875,22.88547134399414,Support,22.88547134399414,1285.0,-1262.114528656006,-0.9689468950182272,1901.7060113794664,1939.0335525045768,0
2020-01-20,24.96596908569336,23.301570892333984,,23.301570892333984,Support,23.301570892333984,1285.0,-1261.698429107666,-0.968732303812313,1901.7060113794664,1939.0335525045768,0
2020-01-23,24.54986953735352,22.67742156982422,,22.67742156982422,Support,22.67742156982422,1285.0,-1262.3225784301758,-0.9690541906211844,1901.7060113794664,1939.0335525045768,0
2020-01-27,32.66381072998047,16.227880477905273,32.66381072998047,16.227880477905273,Support,16.227880477905273,1285.0,-1268.7721195220947,-0.9723803533291931,1901.7060113794664,1939.0335525045768,0
2020-01-31,24.75791931152344,19.764726638793945,,19.764726638793945,Support,19.764726638793945,1285.0,-1265.235273361206,-0.9705563280789234,1901.7060113794664,1939.0335525045768,0
2020-02-05,22.67742156982422,21.013023376464844,,21.013023376464844,Support,21.013023376464844,1285.0,-1263.9869766235352,-0.9699125554448406,1901.7060113794664,1939.0335525045768,0
2020-02-18,22.88547134399414,22.053272247314453,,22.053272247314453,Support,22.053272247314453,1285.0,-1262.9467277526855,-0.9693760774300554,1901.7060113794664,1939.0335525045768,0
2020-02-20,22.88547134399414,21.22107315063477,,21.22107315063477,Support,21.22107315063477,1285.0,-1263.7789268493652,-0.9698052598418836,1901.7060113794664,1939.0335525045768,0
2020-02-28,20.80497360229492,18.724477767944336,,18.724477767944336,Support,18.724477767944336,1285.0,-1266.2755222320557,-0.9710928060937086,1901.7060113794664,1939.0335525045768,0
2020-03-03,22.88547134399414,22.261323928833008,,22.261323928833008,Support,22.261323928833008,1285.0,-1262.738676071167,-0.9692687808434388,1901.7060113794664,1939.0335525045768,0
2020-03-06,23.717670440673828,21.84522247314453,,21.84522247314453,Support,21.84522247314453,1285.0,-1263.1547775268557,-0.9694833730330124,1901.7060113794664,1939.0335525045768,0
2020-03-13,22.88547134399414,20.59692573547364,,20.59692573547364,Support,20.59692573547364,1285.0,-1264.4030742645264,-0.9701271456670952,1901.7060113794664,1939.0335525045768,0
2020-04-01,19.556676864624023,15.395681381225586,,15.395681381225586,Support,15.395681381225586,1285.0,-1269.6043186187744,-0.9728095357410214,1901.7060113794664,1939.0335525045768,0
2020-04-03,17.476177215576172,16.643978118896484,,16.643978118896484,Support,16.643978118896484,1285.0,-1268.3560218811035,-0.9721657631069386,1901.7060113794664,1939.0335525045768,0
2020-04-08,18.10032844543457,16.85202980041504,,16.85202980041504,Support,16.85202980041504,1285.0,-1268.147970199585,-0.972058466520322,1901.7060113794664,1939.0335525045768,0
2020-04-13,19.972774505615234,16.01983070373535,,16.01983070373535,Support,16.01983070373535,1285.0,-1268.9801692962646,-0.9724876489321502,1901.7060113794664,1939.0335525045768,0
2020-04-21,16.643978118896484,14.563482284545898,,14.563482284545898,Support,14.563482284545898,1285.0,-1270.436517715454,-0.9732387181528496,1901.7060113794664,1939.0335525045768,0
2020-05-04,16.227880477905273,11.234685897827148,16.227880477905273,11.234685897827148,Support,11.234685897827148,1285.0,-1273.7653141021729,-0.9749554478001624,1901.7060113794664,1939.0335525045768,0
2020-05-11,14.147381782531738,12.274934768676758,14.147381782531738,12.274934768676758,Support,12.274934768676758,1285.0,-1272.7250652313232,-0.9744189697853772,1901.7060113794664,1939.0335525045768,0
2020-05-19,14.563482284545898,12.482983589172363,14.563482284545898,12.482983589172363,Support,12.482983589172363,1285.0,-1272.5170164108276,-0.9743116746742496,1901.7060113794664,1939.0335525045768,0
2020-06-02,14.563482284545898,13.107133865356444,14.563482284545898,13.107133865356444,Support,13.107133865356444,1285.0,-1271.8928661346436,-0.9739897873735488,1901.7060113794664,1939.0335525045768,0
