Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,252,263,257,5.54,15,257.0,0.0447,246.0,274.15,1
Resistance,270,281,275,5.43,17,275.0,0.1179,246.0,132.93,2
Resistance,291,303,297,5.99,12,297.0,0.2073,246.0,55.22,3
Resistance,342,353,348,5.4,14,348.0,0.4146,246.0,32.97,4
Resistance,313,324,319,5.66,9,319.0,0.2967,246.0,29.34,5
Resistance,365,379,372,7.13,15,372.0,0.5122,246.0,28.72,6
Resistance,390,407,399,8.33,10,399.0,0.622,246.0,15.82,7
Resistance,417,439,428,10.77,9,428.0,0.7398,246.0,12.0,8
Resistance,462,488,475,13.11,4,475.0,0.9309,246.0,4.25,9
Support,239,243,241,2.02,11,241.0,0.0203,246.0,362.73,1
Support,228,233,231,2.49,18,231.0,0.061,246.0,253.61,2
Support,219,222,220,1.56,9,220.0,0.1057,246.0,77.79,3
Support,156,161,159,2.39,8,159.0,0.3537,246.0,22.0,4
Support,135,143,139,3.72,8,139.0,0.435,246.0,17.98,5
Support,192,196,194,2.08,3,194.0,0.2114,246.0,13.55,6
Support,200,200,200,0.0,2,200.0,0.187,246.0,10.15,7
Support,117,117,117,0.0,1,117.0,0.5244,246.0,1.87,8
Support,107,107,107,0.0,1,107.0,0.565,246.0,1.74,9
