Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,79,94,86,7.09,39,86.0,0.1467,75.0,248.94,1
Resistance,102,117,110,7.64,13,110.0,0.4667,75.0,27.27,2
Resistance,158,171,165,6.5,18,165.0,1.2,75.0,14.88,3
Resistance,135,148,141,6.39,13,141.0,0.88,75.0,14.61,4
Resistance,184,200,192,7.71,7,192.0,1.56,75.0,4.46,5
Resistance,230,262,246,16.25,4,246.0,2.28,75.0,1.75,6
Support,73,74,73,0.84,6,73.0,0.0267,75.0,163.64,1
Support,66,67,67,0.63,10,67.0,0.1067,75.0,85.71,2
Support,69,71,70,0.84,5,70.0,0.0667,75.0,65.22,3
Support,64,65,64,0.71,8,64.0,0.1467,75.0,51.06,4
Support,60,62,61,0.75,6,61.0,0.1867,75.0,30.51,5
Support,50,50,50,0.0,5,50.0,0.3333,75.0,14.56,6
