Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1185,1185,1185,0.0,1,1185.0,0.0042,1180.0,70.24,1
Resistance,1209,1216,1212,3.54,2,1212.0,0.0271,1180.0,53.88,2
Resistance,1230,1230,1230,0.0,2,1230.0,0.0424,1180.0,38.19,3
Resistance,1244,1251,1248,3.54,2,1248.0,0.0576,1180.0,29.57,4
Resistance,1299,1306,1302,3.54,2,1302.0,0.1034,1180.0,17.64,5
Resistance,1314,1321,1318,3.54,2,1318.0,0.1169,1180.0,15.75,6
Resistance,1255,1255,1255,0.0,1,1255.0,0.0636,1180.0,13.59,7
Support,1093,1139,1116,22.88,12,1116.0,0.0542,1180.0,186.81,1
Support,687,710,699,11.29,32,699.0,0.4076,1180.0,76.62,2
Support,722,748,735,13.14,22,735.0,0.3771,1180.0,56.83,3
Support,776,802,789,13.18,19,789.0,0.3314,1180.0,55.66,4
Support,832,873,852,20.43,15,852.0,0.278,1180.0,52.09,5
Support,1012,1070,1041,29.45,5,1041.0,0.1178,1180.0,39.12,6
Support,615,641,628,13.08,8,628.0,0.4678,1180.0,16.74,7
