Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,1921,1943,1932,10.95,5
Resistance,1958,1979,1969,10.31,4
Resistance,1995,2011,2003,8.08,18
Resistance,2036,2057,2046,10.08,14
Resistance,2077,2097,2087,9.94,14
Resistance,2148,2172,2160,11.55,7
Resistance,2201,2251,2226,25.1,5
Resistance,2300,2300,2300,0.0,1
Resistance,2365,2425,2395,30.0,4
Support,1056,1082,1069,13.05,7
Support,1100,1125,1112,12.58,4
Support,1311,1341,1326,14.93,4
Support,1355,1380,1368,12.3,10
Support,1392,1408,1400,8.16,13
Support,1457,1478,1468,10.64,9
Support,1497,1546,1521,24.62,4
Support,1675,1710,1692,17.68,2
Support,1781,1831,1806,24.96,4
