Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,62,27,127,254,0.6723,0.6966,0.328,0.446
AKRA,18,22,150,279,0.6333,0.45,0.1071,0.1731
APEX,53,17,149,252,0.6476,0.7571,0.2624,0.3897
ARII,156,50,119,146,0.6412,0.7573,0.5673,0.6486
BBRM,55,27,192,195,0.533,0.6707,0.2227,0.3343
BIPI,1,2,229,238,0.5085,0.3333,0.0043,0.0086
BULL,107,44,141,178,0.6064,0.7086,0.4315,0.5363
BUMI,76,15,137,243,0.6773,0.8352,0.3568,0.5
CNKO,54,3,217,197,0.5329,0.9474,0.1993,0.3293
DEWA,21,22,161,267,0.6115,0.4884,0.1154,0.1867
DOID,36,30,147,258,0.6242,0.5455,0.1967,0.2892
DSSA,0,0,161,308,0.6567,0.0,0.0,0.0
DWGL,3,0,208,258,0.5565,1.0,0.0142,0.028
ELSA,33,13,169,255,0.6128,0.7174,0.1634,0.2661
ENRG,60,29,128,254,0.6667,0.6742,0.3191,0.4332
FIRE,15,7,189,259,0.583,0.6818,0.0735,0.1327
HRUM,44,19,144,262,0.6525,0.6984,0.234,0.3506
IATA,29,13,298,129,0.3369,0.6905,0.0887,0.1572
INDY,120,55,96,200,0.6794,0.6857,0.5556,0.6138
INPS,25,13,164,267,0.6226,0.6579,0.1323,0.2203
ITMA,20,4,147,298,0.678,0.8333,0.1198,0.2094
ITMG,122,47,91,211,0.707,0.7219,0.5728,0.6387
KKGI,101,29,144,197,0.6327,0.7769,0.4122,0.5387
LEAD,31,9,187,243,0.583,0.775,0.1422,0.2403
MBSS,24,8,170,269,0.6221,0.75,0.1237,0.2124
MEDC,61,21,133,255,0.6723,0.7439,0.3144,0.442
MTFN,153,3,212,103,0.5435,0.9808,0.4192,0.5873
PGAS,41,3,142,284,0.6915,0.9318,0.224,0.3612
PTBA,91,27,152,201,0.62,0.7712,0.3745,0.5042
PTRO,33,8,128,300,0.71,0.8049,0.205,0.3267
RAJA,0,0,129,340,0.7249,0.0,0.0,0.0
RUIS,65,16,158,232,0.6306,0.8025,0.2915,0.4276
SOCI,75,21,163,212,0.6093,0.7812,0.3151,0.4491
SURE,13,3,171,282,0.629,0.8125,0.0707,0.13
TAMU,22,9,292,147,0.3596,0.7097,0.0701,0.1275
TCPI,50,37,139,245,0.6263,0.5747,0.2646,0.3623
TEBE,54,5,195,216,0.5745,0.9153,0.2169,0.3506
TOBA,48,21,128,272,0.6823,0.6957,0.2727,0.3918
TPMA,131,30,163,146,0.5894,0.8137,0.4456,0.5758
WINS,86,20,129,236,0.6837,0.8113,0.4,0.5358
WOWS,44,6,237,182,0.4819,0.88,0.1566,0.2659
