Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,106,297,201,3.19,23
Resistance,115,311,213,3.28,29
Resistance,97,355,226,4.3,23
Resistance,131,353,242,3.7,23
Resistance,87,436,262,5.81,14
Resistance,38,537,287,8.32,5
Resistance,132,488,310,5.93,6
Resistance,98,565,331,7.78,8
Resistance,-131,847,358,16.31,7
Support,133,176,155,0.71,2
Support,129,192,160,1.04,13
Support,148,183,166,0.58,4
Support,168,168,168,0.0,2
Support,174,174,174,0.0,1
Support,160,195,178,0.58,3
Support,159,204,182,0.76,7
Support,157,216,186,0.98,7
Support,142,240,191,1.64,9
