Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,468,1124,796,10.94,21
Resistance,619,1036,828,6.96,13
Resistance,585,1148,866,9.37,21
Resistance,472,1347,910,14.57,11
Resistance,506,1497,1001,16.52,4
Resistance,1135,1135,1135,0.0,1
Resistance,-209,3082,1437,54.85,3
Resistance,1605,1605,1605,0.0,1
Resistance,634,3006,1820,39.53,5
Support,128,525,326,6.61,4
Support,147,606,377,7.65,17
Support,-7,898,445,15.09,7
Support,196,791,494,9.91,6
Support,-172,1267,548,23.98,4
Support,208,1052,630,14.07,14
Support,349,972,660,10.39,10
Support,334,1077,706,12.37,8
Support,434,1064,749,10.51,18
